tempo,PWM,RPM
11.839,106.865,1410.0
11.849,106.831,1410.0
11.859,106.797,1410.0
11.869,106.763,1410.0
11.879,122.398,1380.0
11.889,106.797,1410.0
11.899,122.432,1380.0
11.909,122.5,1380.0
11.919,106.899,1410.0
11.929,91.196,1440.0
11.939,122.398,1380.0
11.949,106.797,1410.0
11.959,122.432,1380.0
11.969,106.831,1410.0
11.979,122.466,1380.0
11.99,106.865,1410.0
11.999,106.831,1410.0
12.009,122.466,1380.0
12.019,106.865,1410.0
12.029,106.831,1410.0
12.039,122.466,1380.0
12.049,106.865,1410.0
12.059,106.831,1410.0
12.069,122.466,1380.0
12.079,122.534,1380.0
12.089,106.933,1410.0
12.099,91.23,1440.0
12.109,122.432,1380.0
12.119,106.831,1410.0
12.129,122.466,1380.0
12.139,106.865,1410.0
