tempo,PWM,RPM
7.589,110.327,1380.0
7.599,94.726,1410.0
7.609,110.361,1380.0
7.619,110.429,1380.0
7.629,110.497,1380.0
7.639,94.896,1410.0
7.649,110.531,1380.0
7.659,110.599,1380.0
7.669,94.998,1410.0
7.68,110.633,1380.0
7.689,95.032,1410.0
7.699,110.667,1380.0
7.709,110.735,1380.0
7.719,95.134,1410.0
7.729,110.769,1380.0
7.739,110.837,1380.0
7.749,95.236,1410.0
7.759,110.871,1380.0
7.769,95.27,1410.0
7.779,110.905,1380.0
7.789,110.973,1380.0
7.799,95.372,1410.0
7.809,111.007,1380.0
7.819,111.075,1380.0
7.829,95.474,1410.0
7.839,111.109,1380.0
7.849,111.177,1380.0
7.859,95.576,1410.0
7.869,95.542,1410.0
7.879,111.177,1380.0
7.889,111.245,1380.0
7.899,111.313,1380.0
7.909,95.712,1410.0
7.919,111.347,1380.0
7.929,95.746,1410.0
7.939,111.381,1380.0
7.949,95.78,1410.0
7.959,95.746,1410.0
7.969,127.05,1350.0
7.98,95.882,1410.0
7.989,111.517,1380.0
7.999,111.585,1380.0
8.009,95.984,1410.0
8.019,95.95,1410.0
8.029,111.585,1380.0
8.039,111.653,1380.0
8.049,96.052,1410.0
8.059,111.687,1380.0
8.069,111.755,1380.0
8.079,96.154,1410.0
8.089,111.789,1380.0
8.099,111.857,1380.0
8.109,96.256,1410.0
8.119,96.222,1410.0
8.129,111.857,1380.0
8.139,111.925,1380.0
8.15,96.324,1410.0
8.159,111.959,1380.0
8.169,112.027,1380.0
8.179,96.426,1410.0
8.189,112.061,1380.0
8.199,96.46,1410.0
8.209,96.426,1410.0
8.219,112.061,1380.0
8.229,112.129,1380.0
8.239,96.528,1410.0
8.249,112.163,1380.0
8.259,96.562,1410.0
8.269,112.197,1380.0
8.279,112.265,1380.0
8.289,96.664,1410.0
8.299,96.63,1410.0
8.309,112.265,1380.0
8.32,112.333,1380.0
8.329,112.401,1380.0
8.339,96.8,1410.0
8.349,112.435,1380.0
8.359,96.834,1410.0
8.369,112.469,1380.0
8.379,96.868,1410.0
8.389,112.503,1380.0
8.399,96.902,1410.0
8.409,112.537,1380.0
8.419,112.605,1380.0
8.429,97.004,1410.0
8.439,96.97,1410.0
8.449,112.605,1380.0
8.459,97.004,1410.0
8.469,112.639,1380.0
8.479,97.038,1410.0
8.489,112.673,1380.0
8.499,112.741,1380.0
8.509,97.14,1410.0
8.519,112.775,1380.0
8.529,97.174,1410.0
8.539,112.809,1380.0
8.549,97.208,1410.0
8.559,97.174,1410.0
8.569,112.809,1380.0
8.579,112.877,1380.0
8.589,97.276,1410.0
8.599,112.911,1380.0
8.609,112.979,1380.0
8.62,97.378,1410.0
8.629,97.344,1410.0
8.639,97.31,1410.0
8.649,112.945,1380.0
8.659,113.013,1380.0
8.669,113.081,1380.0
8.679,97.48,1410.0
8.689,97.446,1410.0
8.699,113.081,1380.0
8.709,97.48,1410.0
8.719,113.115,1380.0
8.729,97.514,1410.0
8.739,97.48,1410.0
8.749,113.115,1380.0
8.759,113.183,1380.0
8.769,97.582,1410.0
8.779,113.217,1380.0
9.049,113.625,1380.0
