PWM,RPM
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
120.678,1380.0
105.077,1410.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
120.678,1380.0
105.077,1410.0
89.374,1440.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
104.941,1410.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
104.941,1410.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
104.941,1410.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
104.941,1410.0
120.576,1380.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
104.975,1410.0
120.61,1380.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.009,1410.0
120.644,1380.0
105.043,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
120.679,1380.0
105.078,1410.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
120.679,1380.0
105.078,1410.0
105.044,1410.0
120.679,1380.0
105.078,1410.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
120.679,1380.0
105.078,1410.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
120.679,1380.0
105.078,1410.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
120.611,1380.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
120.645,1380.0
105.044,1410.0
105.01,1410.0
104.976,1410.0
