tensao
Tempo (ms): 45085 | Velocidade (RPM): 0.00
Tempo (ms): 45187 | Velocidade (RPM): 0.00
Tempo (ms): 45287 | Velocidade (RPM): 0.00
Tempo (ms): 45388 | Velocidade (RPM): 0.00
Tempo (ms): 45490 | Velocidade (RPM): 2.97
Tempo (ms): 45591 | Velocidade (RPM): 0.00
Tempo (ms): 45691 | Velocidade (RPM): 0.00
Tempo (ms): 45793 | Velocidade (RPM): 14.84
Tempo (ms): 45894 | Velocidade (RPM): 450.61
Tempo (ms): 45996 | Velocidade (RPM): 1448.35
Tempo (ms): 46097 | Velocidade (RPM): 2257.40
Tempo (ms): 46198 | Velocidade (RPM): 3297.78
Tempo (ms): 46300 | Velocidade (RPM): 4400.64
Tempo (ms): 46401 | Velocidade (RPM): 5512.01
Tempo (ms): 46502 | Velocidade (RPM): 6623.90
Tempo (ms): 46605 | Velocidade (RPM): 7678.40
Tempo (ms): 46706 | Velocidade (RPM): 8644.33
Tempo (ms): 46809 | Velocidade (RPM): 9521.05
Tempo (ms): 46910 | Velocidade (RPM): 10286.10
Tempo (ms): 47012 | Velocidade (RPM): 10932.42
Tempo (ms): 47115 | Velocidade (RPM): 11454.06
Tempo (ms): 47217 | Velocidade (RPM): 11863.10
Tempo (ms): 47320 | Velocidade (RPM): 12194.24
Tempo (ms): 47422 | Velocidade (RPM): 12426.28
Tempo (ms): 47524 | Velocidade (RPM): 12592.74
Tempo (ms): 47627 | Velocidade (RPM): 12674.16
Tempo (ms): 47729 | Velocidade (RPM): 12714.69
Tempo (ms): 47832 | Velocidade (RPM): 12696.63
Tempo (ms): 47934 | Velocidade (RPM): 12586.86
Tempo (ms): 48036 | Velocidade (RPM): 12412.64
Tempo (ms): 48139 | Velocidade (RPM): 12171.42
Tempo (ms): 48241 | Velocidade (RPM): 11852.75
Tempo (ms): 48344 | Velocidade (RPM): 11454.34
Tempo (ms): 48446 | Velocidade (RPM): 10952.78
Tempo (ms): 48548 | Velocidade (RPM): 10320.43
Tempo (ms): 48650 | Velocidade (RPM): 9562.71
Tempo (ms): 48752 | Velocidade (RPM): 8687.59
Tempo (ms): 48854 | Velocidade (RPM): 7638.51
Tempo (ms): 48956 | Velocidade (RPM): 6446.86
Tempo (ms): 49057 | Velocidade (RPM): 5144.31
Tempo (ms): 49159 | Velocidade (RPM): 3744.09
Tempo (ms): 49260 | Velocidade (RPM): 2283.39
Tempo (ms): 49361 | Velocidade (RPM): 831.79
Tempo (ms): 49463 | Velocidade (RPM): 5.93
Tempo (ms): 49564 | Velocidade (RPM): 0.00
